review_id,rating,review
Ci9DQUlRQUNvZENodHljRjlvT2t0dFlUWlBVemxaU0hCV2NYVjBUMTl4WjBKdlNuYxAB,5,NoveliaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2xZd2FsRk9iRjlyTFV4WE5XTkRXVUZIY25ZMVQxRRAB,5,NoveliaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT25VeU1uQjVabVkzVWtsb01qRlFaM2hoYjB0SVMzYxAB,5,"NoveliaJenis perjalananBisnisKamar: 5Layanan: 5Lokasi: 5Sorotan hotelMewah, Pemandangan yang indah, Romantis, Tenang, Harga terbaik, Berteknologi tinggi"
Ci9DQUlRQUNvZENodHljRjlvT25RM09WRmZVMjloV0dob1NFWnJZamRwYURoMU1HYxAB,5,"Hotel yang nyaman , cocok buat liburan ke Jogja

#NoveliaKamar: 5Layanan: 5Lokasi: 5"
Ci9DQUlRQUNvZENodHljRjlvT25wU2RrdHRWSEozUjNKTWRXZG5iMjFTUXpGNlUxRRAB,5,"NoveliaJenis perjalananBisnisKamar: 5Layanan: 5Lokasi: 5Sorotan hotelMewah, Pemandangan yang indah, Tenang, Harga terbaik, Berteknologi tinggi"
Ci9DQUlRQUNvZENodHljRjlvT2twVFNHSjFUVWx6TWtKM2MzaE9VVzFSWjJGd09XYxAB,5,NoveliaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2pkV1QzSlFVMkZyT1RCRVMyRnhUME5YYTI1TGMzYxAB,5,Hotel bagus novelia juga okeeKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2pWSVUzZGtRamt0V0ZoV2JFOHpjV1JOYlhaTWQxRRAB,5,Pelayanan novelia
Ci9DQUlRQUNvZENodHljRjlvT2xNNGFsOVJXbnBTVVZKQ2RXOXVSbWhXYUd4VVZsRRAB,5,NoveliaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2xoc2FGSm9VQzFLTVRSSVFqbGhiV1JvWjJwa2NWRRAB,5,noveliaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2prMmIxQk9SM1ZCWldrM2VHZ3dOVVpTZFZoM2EyYxAB,5,"Novelia,Kamar: 5Layanan: 5Lokasi: 5"
Ci9DQUlRQUNvZENodHljRjlvT25WbFdreDZVRVoxYjNKelVHNHdTbmhQU0RsbFQzYxAB,5,"Tempat yang nyaman, pelayanan yang ramah cepat dan sangat membantuJenis perjalananBisnisGrup perjalananTemanKamar: 5Layanan: 5Lokasi: 5KamarBig room, and very comfortableMakanan & minumanSangat menarik dan rasa makanan yang enakSorotan hotelMewah, Pemandangan yang indah, Harga terbaik"
Ci9DQUlRQUNvZENodHljRjlvT21GTFNTMVhSak13V2pWRVNtMXhXVTV2UW5ocE1XYxAB,5,"Pelayanan mbak novelia perfect , ramah , sopan dan bikin nyamanKamar: 5Layanan: 5Lokasi: 5"
Ci9DQUlRQUNvZENodHljRjlvT2tweWFrZzNTRkJZWjNORVJ6Vmtaa2xWT0daTldsRRAB,5,"Makanan enak, pelayanan baik atasnama mas idrisKamar: 5Layanan: 5Lokasi: 5"
Ci9DQUlRQUNvZENodHljRjlvT2xsdFlYTmZWVEpZYmtsQ1NGZHhkMWxHZDJKUVZGRRAB,5,terbaik mba novelia makanan enakKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2t3eFZUQlJXR1kyVUcxcE5rUlVkRFJLVEVkR1RIYxAB,5,Novelia cantik
Ci9DQUlRQUNvZENodHljRjlvT25sbVdXbFVXRjlLY0RJdFpGRjZWV05pWW1OUFRGRRAB,5,@noveliaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT21KWFdqaFlVRVZtZFRoME9XZGhUVUU1VXpsb1JVRRAB,5,Novelia
Ci9DQUlRQUNvZENodHljRjlvT2xwWU4ydHRZbVl4VmxWek9ITnNRa05xY1ZaRmVrRRAB,5,Novel MbaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2t0MlkwUjVRV0pwZDNKT1FUVndhVmd6Ymw4M04xRRAB,5,Sangat bagus novelia dan nasywaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2tnek5TMDJWVmxJU21Oc05XRlNWM281V1ZkWWVFRRAB,5,novelia dan nasywaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2tacWNGSlRSR3hPZFZCNWFVVmpiV3BZVVhaUlEyYxAB,5,"Menarik. Bisa rekomendasi untuk yang mau jalan” di Yogyakarta , bersama. Novella & Nasywa.Kamar: 5Layanan: 5Lokasi: 5"
Ci9DQUlRQUNvZENodHljRjlvT2xsRmJVOWtlaTFZV1VGUFNtNVpNSGMxTTFwbFdGRRAB,5,SeptyanaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2xGQ04zUndZMkp0Ym1jNFYwTm1PRXhoVlRGV2EyYxAB,5,"Novelia
NasywaKamar: 5Layanan: 5Lokasi: 5"
